; UNITS:,  PgC year-1,  PgC year-1,  PgC year-1,  PgC year-1,  Tg year-1,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppb,  Tg CH4 year-1,  ppm,  Tg CO year-1, W/m2, W/m2,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppb,  Tg N year-1,  Tg year-1,  Tg NMVOC year-1,  Tg N year-1,  Tg year-1,  ppt,  ppt,  Gg S year-1, W/m2,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt
Date,ffi_emissions,luc_emissions,daccs_uptake,luc_uptake,BC_emissions,C2F6_constrain,C2F6_emissions,CCl4_constrain,CCl4_emissions,CF4_constrain,CF4_emissions,CFC113_constrain,CFC113_emissions,CFC114_constrain,CFC114_emissions,CFC115_constrain,CFC115_emissions,CFC11_constrain,CFC11_emissions,CFC12_constrain,CFC12_emissions,CH3Br_constrain,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_constrain,CH3Cl_emissions,CH4_constrain,CH4_emissions,CO2_constrain,CO_emissions,Ftalbedo,Ftot_constrain,HCFC141b_constrain,HCFC141b_emissions,HCFC142b_constrain,HCFC142b_emissions,HCFC22_constrain,HCFC22_emissions,HFC125_constrain,HFC125_emissions,HFC134a_constrain,HFC134a_emissions,HFC143a_constrain,HFC143a_emissions,HFC227ea_constrain,HFC227ea_emissions,HFC23_constrain,HFC23_emissions,HFC245_constrain,HFC245fa_emissions,HFC32_constrain,HFC32_emissions,HFC4310_constrain,HFC4310_emissions,N2O_constrain,N2O_emissions,NH3_emissions,NMVOC_emissions,NOX_emissions,OC_emissions,SF6_constrain,SF6_emissions,SO2_emissions,SV,halon1211_constrain,halon1211_emissions,halon1301_constrain,halon1301_emissions,halon2402_constrain,halon2402_emissions
1769,0.003001817768688934,0.021366123383700673,0,0,0.18639296,0,0,0,0,35,0.010739687,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,724.3415263573058,3.3872782,278.47112545319635,20.797465,-0.004352403883633659,0.257625500046462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.0390327773972,0.019972692583859676,1.1082774907142856,3.6858966,0.2853632171676049,1.2136114,0,0,151.63408015600623,0.14085466820815734,0,0,0,0,0,0
1770,0.003001817768688934,0.026707654980080285,0,0,0.21302373,0,0,0,0,35,0.010735548,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,724.9941847682646,3.8650146,278.6010238207762,24.723782,-0.004581477772245955,0.18232580396566672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.06096215639263,0.02490012603312582,1.1308748135714284,4.3840909,0.34407589876410105,1.4302291,0,0,169.33425051482058,0.033996593303709,0,0,0,0,0,0
1771,0.004002423591524652,0.03204918557585397,0,0,0.23974168,0,0,0,0,35,0.010731403,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,725.6268126899217,4.3443625,278.73313034098106,28.655658000000003,-0.004810551660858255,0.2330343534662377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.08251537131025,0.02982784753473894,1.1566465707142857,5.0832602,0.4028437195298541,1.6472256999999997,0,0,187.1226583151326,0.09236402421096876,0,0,0,0,0,0
1772,0.004002423591524652,0.037390716171627654,0,0,0.26654951,0,0,0,0,35,0.01072725399999999,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,726.2490111413402,4.8253718,278.8695421046236,32.593264000000005,-0.005039625549470551,0.27911694665034853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.1038549673129,0.03475586408997136,1.1782138757142857,5.7834346,0.46166839005955607,1.864613,0,0,205.002027800312,0.1614834524480926,0,0,0,0,0,0
1773,0.004002423591524652,0.042732247768007256,0,0,0.29345,0,0,0,0,35,0.010723098,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,726.8581883367577,5.308093799999999,279.00982827853886,36.536778000000005,-0.00526869943808285,0.2685447418418319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.1248717146118,0.03968418670082246,1.1992794985714286,6.484645099999999,0.5205516509583323,2.082403,0,0,222.97517335413417,0.18695238052243854,0,0,0,0,0,0
1774,0.004002423591524652,0.04807377836378095,0,0,0.32044601,0,0,0,0,35,0.010718937,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,727.4542218732876,5.7925816,279.1540290787671,40.486382,-0.005497773326695147,0.23635991759821975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.1456463184931,0.04461282236856454,1.2198523642857142,7.1869238,0.5794953328626077,2.3006082,0,0,241.04499950078002,0.19561002354327675,0,0,0,0,0,0
1775,0.004002423591524652,0.05341530895955464,0,0,0.34754051,0,0,0,0,35,0.01071476899999999,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,728.0346901969646,6.278889599999999,279.3024929856152,44.442265,-0.005726847215307444,0.2034610347830329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.16617226630603,0.04954178309537873,1.239941264285714,7.8903037,0.6385012964192404,2.5192414,0,0,259.21449088923555,0.19852288134250307,0,0,0,0,0,0
1776,0.004002423591524652,0.05875683955532833,0,0,0.37473653,0,0,0,0,35,0.010710595,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,728.6026327377049,6.7670743,279.4578228119869,48.40462,-0.005955921103919743,0.18319686564090382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.18660247015737,0.054471078883082634,1.259555257142857,8.5948188,0.6975714622959548,2.7383159,0,0,277.48673232449295,0.1995015567710333,0,0,0,0,0,0
1777,0.004002423591524652,0.06409837115170794,0,0,0.40203721,0,0,0,0,35,0.010706413,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,729.1531259657534,7.2571937,279.6187162009132,52.373649,-0.006184994992532042,0.1872557683662796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.2067864166666,0.05940071773313035,1.2787030857142856,9.3005044,0.7567078311882973,2.9578452,0,0,295.86490876755073,0.19983030131422502,0,0,0,0,0,0
1778,0.004002423591524652,0.06943990174748162,0,0,0.4294458,0,0,0,0,35,0.010702225,0,0,0,0,0,0,0,0,0,0,5.799999999999998,157.267,0,480,3100.211,729.6856814109588,7.7493076,279.78191473972606,56.349557,-0.006414068881144338,0.23191678669344132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.2267861678082,0.06433071264788474,1.297393614285714,10.007397,0.8159124338022473,3.1778436,0,0,314.3522853042122,0.19994073405064008,0,0,0,0,0,0
